sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
55,0.53515625,0.791015625,0.255859375,168,256,128,0,0,0,0,0,0.000896306504728379,0,0
56,0.654296875,0.87890625,0.224609375,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
57,0.828125,0.982421875,0.154296875,103,256,128,0,0,0,0,0,0.000896306504728379,0,0
58,0.8046875,0.9765625,0.171875,108,256,128,0,0,0,0,0,0.000896306504728379,0,0
59,0.76171875,0.94140625,0.1796875,121,256,128,0,0,0,0,0,0.000896306504728379,0,0
60,0.666015625,0.943359375,0.27734375,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
61,0.541015625,0.796875,0.255859375,151,256,128,0,0,0,0,0,0.000896306504728379,0,0
62,0.623046875,0.8671875,0.244140625,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
63,0.556640625,0.82421875,0.267578125,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
64,0.642578125,0.84765625,0.205078125,129,256,128,0,0,0,0,0,0.000896306504728379,0,0
65,0.63671875,0.828125,0.19140625,126,256,128,0,0,0,0,0,0.000896306504728379,0,0
66,0.6875,0.8984375,0.2109375,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
67,0.72265625,0.900390625,0.177734375,120,256,128,0,0,0,0,0,0.000896306504728379,0,0
68,0.6640625,0.931640625,0.267578125,130,256,128,0,0,0,0,0,0.000896306504728379,0,0
69,0.857421875,0.984375,0.126953125,77,256,128,0,0,0,0,0,0.000896306504728379,0,0
70,0.666015625,0.900390625,0.234375,128,256,128,0,0,0,0,0,0.000896306504728379,0,0
71,0.576171875,0.826171875,0.25,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
72,0.5859375,0.84765625,0.26171875,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
73,0.66015625,0.93359375,0.2734375,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
74,0.51171875,0.76171875,0.25,157,256,128,0,0,0,0,0,0.000896306504728379,0,0
75,0.595703125,0.849609375,0.25390625,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
76,0.486328125,0.70703125,0.220703125,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
77,0.650390625,0.880859375,0.23046875,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
78,0.650390625,0.888671875,0.23828125,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
79,0.73046875,0.884765625,0.154296875,114,256,128,0,0,0,0,0,0.000896306504728379,0,0
80,0.71484375,0.904296875,0.189453125,129,256,128,0,0,0,0,0,0.000896306504728379,0,0
