sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
55,0.53515625,0.78125,0.24609375,163,256,128,0,0,0,0,0,0.000896306504728379,0,0
56,0.654296875,0.857421875,0.203125,128,256,128,0,0,0,0,0,0.000896306504728379,0,0
57,0.828125,0.970703125,0.142578125,87,256,128,0,0,0,0,0,0.000896306504728379,0,0
58,0.8046875,0.966796875,0.162109375,108,256,128,0,0,0,0,0,0.000896306504728379,0,0
59,0.76171875,0.94140625,0.1796875,114,256,128,0,0,0,0,0,0.000896306504728379,0,0
60,0.666015625,0.91015625,0.244140625,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
61,0.541015625,0.771484375,0.23046875,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
62,0.623046875,0.87109375,0.248046875,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
63,0.556640625,0.82421875,0.267578125,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
64,0.642578125,0.857421875,0.21484375,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
65,0.63671875,0.85546875,0.21875,137,256,128,0,0,0,0,0,0.000896306504728379,0,0
66,0.6875,0.888671875,0.201171875,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
67,0.72265625,0.93359375,0.2109375,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
68,0.6640625,0.8828125,0.21875,129,256,128,0,0,0,0,0,0.000896306504728379,0,0
69,0.857421875,0.998046875,0.140625,83,256,128,0,0,0,0,0,0.000896306504728379,0,0
70,0.666015625,0.814453125,0.1484375,100,218,109,0,0,0,0,0,0.000896306504728379,0,1
71,0.576171875,0.8671875,0.291015625,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
72,0.5859375,0.86328125,0.27734375,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
73,0.66015625,0.912109375,0.251953125,137,256,128,0,0,0,0,0,0.000896306504728379,0,0
74,0.51171875,0.80859375,0.296875,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
75,0.595703125,0.841796875,0.24609375,154,256,128,0,0,0,0,0,0.000896306504728379,0,0
76,0.486328125,0.720703125,0.234375,170,256,128,0,0,0,0,0,0.000896306504728379,0,0
77,0.650390625,0.91015625,0.259765625,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
78,0.650390625,0.869140625,0.21875,120,256,128,0,0,0,0,0,0.000896306504728379,0,0
79,0.73046875,0.888671875,0.158203125,105,256,128,0,0,0,0,0,0.000896306504728379,0,0
80,0.71484375,0.90625,0.19140625,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
81,0.671875,0.91015625,0.23828125,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
82,0.7109375,0.92578125,0.21484375,124,256,128,0,0,0,0,0,0.000896306504728379,0,0
